additional_cards_rules_key;Extra Kártyák
nr_letter_27;[Az ôsi nyelvrôl lefordítva]\n\nA semlegesség azt jelenti, hogy nem veszünk tudomást a közöttünk fennálló kötelékrôl, és semmibe vesszük a kötelességeinket! Miközben itt ülünk, és csak az ujjainkkal babrálunk, a síkföldeken élô testvéreink egyre halódnak, miközben pogrom pogromot követ. Mahakam törpjei! Ragadjatok fegyvert, és csatlakozzatok a Scoia'taelhez! Le a dh'oine-okkal!
nr_letter_28;Meve-nek, Lyria és Rívia királynôjének\nMahakam klántanácsától\n\nMiután a Kódex által elôírt módon összegyûltünk, és a Tanács határozatképesnek bizonyult, úgy döntöttünk, emlékeztetünk, Királynô, hogy itt mint vendég lehetsz jelen. Tisztában vagyunk vele, mire készülsz, és ez nincs ínyünkre. Ezért a Tanács ezennel hivatalos megrovásban részesít a törvényeink és a szokásaink megsértéséért. Amennyiben nem hagysz fel cselekedeteiddel, annak súlyos következményei lesznek – ítéletünk akár hordógurítás általi halál is lehet.
nr_letter_29;Angren részben nilfgaardi irányítás alatt. Feketék csapatai tartják ellenôrzésük alatt a fôbb erôdítéseket és útvonalakat – de ezeken felül keveset. Az ingoványos vadon feltérképezetlen és megmûvelés nélkül maradt.\n\nA császár megbízásából Angren fölött Caldwell gróf uralkodik. Egy kisebb hadosztálynak parancsol Tuzla várában, a mocsaraktól délre. Nilfgaardi egységek felügyelik a fakitermelést a flottájukhoz szükséges nyersanyagért. További szörnytámadások jelentenek még veszélyt – alattomos bestiák ólálkodnak a lápvidékeken, jóval nagyobb számban, mint bárhol másutt.
nr_letter_30;Meve!\n\nNe feledd: Mahakam önkéntesei nem ennivaló és itóka, sem nem civakodás nélkül tartanak Veled! Ne légy fukar – én állom! És mindenképp tégy róla, hogy ne lógjanak együtt a katonáiddal a szükségesnél többet – különítsd el ôket! Nem akarom, hogy bármiféle emberi hóbortot vagy divatot magukra szedjenek az én rendes törpjeim, és aztán megfertôzzék a Hegyet is, amikor visszatérnek!\n\n- BH\n\nU.i.: Ha csak olyan csökönyösséggel küzdesz a Feketék ellen, mint amilyet velem szemben tanúsítottál, akkor kitartanak majd melletted. Ne add fel!
nr_letter_31;Felség!\n\nMár bizonyára tudja, hogy Caldwell grófnak adták át az Angren fölötti irányítást. Villem fia megragadta e lehetôséget, hogy kinyilvánítsa önállóságát. Amikor aep Dahy tábornok nem tartózkodik a fôvárosban, az ifjú herceg a saját rendeleteit viszi keresztül a Nemesi Gyûlésen. De nem az én tisztem megítélni azt, hogy ez épp a megszállók machinációja-e, vagy sem.\n\nTegnap temeriai és kaedweni küldöttek érkeztek az udvarba. Tartok tôle, hogy alkut kötni jöttek a nilfgaardiakkal. Ha Redánia is csatlakozik hozzájuk, úgy a háború véget ér, és az ellenség gyôzedelmeskedik. Asszonyom, az Északnak szüksége van a gyôzelemre! És tudnia kell, hogy az Ön küzdelme rendkívüli fontosságú. Nagyobb szükségünk van Önre most, mint valaha.\n\n- Tóbiás százados
nr_letter_32;Caldwell grófnak\nArdal aep Dahy tábornoktól, fôkancellártól, a "Kelet" Hadseregcsoport fôparancsnokától\n\nMegtagadom Öntôl a visszatérés lehetôségét Lyriába. Kétségtelenül az Ön meglátása volt, hogy az ifjú uralkodónak, Villem királynak egy tapasztalt államférfi támogatására van szüksége. Ez az érve teljességgel megalapozott volt. Azonban biztosíthatom, ha úgy hozza a szükség, személyesen fogom tanácsaimmal ellátni a királyt. Jelen pillanatban az Ön képességeire Angrenben van szükség. Mint tudja, a Császár számára roppant mód fontos, hogy az építôanyagok idôben a hajóépítô mûhelyekbe jussanak. Ezért javaslom, az Ön számára is elsôdleges legyen ezen kívánalomnak megfelelni. A késedelem, történjék bármi okból, nem elfogadható.
nr_letter_33;Caldwell gróf igazat beszél. A felderítôk jelentik: dél felôl hatalmas nilfgaardi sereg menetel. Rekvirálókat küldenek elôre, akik hat vagy hét ezrednek, valamint a lovasságnak és a hadigépek személyzetének is elegendô élelmet konfiskálnak el. Ekkora erôvel szemben nincs esélyünk. Javasolt az azonnali visszavonulás.
nr_letter_34;[Nilfgaardiról lefordítva]\n\nGwalter aep Llwynognak\nArdal aep Dahy tábornoktól, fôkancellártól, a "Kelet" Hadseregcsoport fôparancsnokától\n\nAz elsô kínálkozó alkalommal semlegesítse M-et. Többé már nincs hasznunkra, és ideje véget vetni a lyriai gerillák ténykedésének, még mielôtt nagyobb fenyegetést kezdenének jelenteni a Birodalomra. Amint teljesítette a parancsait, koldúsnak öltözve induljon a ríviai palotába. Ott megkapja majd a további utasításokat.
nr_letter_35;[Egy elsüllyedt szekéren talált irat]\n\n...legszívélyesebb gratulációnk... alig várjuk már a napot, hogy családjaink egy újabb tag által egyesüljenek... hadd járuljunk hozzá szerény ajándékunkkal... a menyasszony ne ismerjen bánatot... a legjobbakat kívánjuk...
nr_letter_36;Figyeljetek, bugrisok!\n\nMinden kihágás igencsak súlyos büntetést von maga után:\n- lopás: kézlevágást\n- szemtelenség: nyelvkivágást\n- renyheség vagy hanyagság: ötven korbácsütést\n- szökési kísérlet: halált
nr_letter_37;[Tünde romok között talált irat, az ôsi nyelvrôl lefordítva]\n\n...egy ilyen szörnyûséges teremtmény nem lehet e világ szülötte, ezért... az úgynevezett Együttállás... egyfajta felsôbbrendû állapotban... a vére... mágikus tulajdonságokkal... más bestiák által... örökre beszennyezôdött... ezért el kell hagynunk ezeket a földeket...
nr_letter_38;Még mindig jelentôs katonai erôk állomásoznak az országban. Nagy létszámú, jól fegyverzett helyôrség minden városban. De legfôkébb Rívia várában – amelynek visszafoglalása létfontosságú a királyság visszaszerzéséhez.\n\nA lakosság megveti a hódítókat, és várja a lehetôséget a bosszúra a megszállásért – az újoncok toborzása meglehetôsen könnyû lesz. Számíthatunk a városi polgárok támogatására az ostrom alatt.
nr_letter_39;Szeptember 5-6-ának éjjelén a következô személyek dezertálását jegyeztük föl:\n- Ríviai Geralt, vaják\n- Emiel Regis, seborvos\n- Mária Barring, más nevén Milva, íjász\n- Cahir aep Caeallach, nilfgaardi szökevény\n- Julian Alfred Pankratz, más nevén Kökörcsin, vándor poéta\n\nA dezertôrök elloptak négy lovat (három lovassági és egy, civil által birtokolt mént), valamint egy öszvért.\n\nA körözvényt szétküldtük.
nr_letter_40;Felség!\n\nFülembe jutott, hogy kegyed Ríviába ért – meglehetôsen méretes sereg élén. Szavakba sem tudom önteni, mennyire örülök a visszatérésének. Meggyôzôdésem, hogy a megszállóink fölött aratott végsô gyôzelem már csak karnyújtásnyira van!\n\nAz udvarban nô a nyugtalanság. A nemesek, akik eddig az ellenséget támogatták, hirtelen gerincet növesztettek. Villem herceg elhagyni készül Lyriát a nilfgaardiak tudta nélkül, bár arról nincsen tudomásom, hová tart. A Birodalomból rengeteg küldött érkezett. Aep Dahy tábornok arckifejezésébôl ítélve nem örömteli híreket hoztak neki. A tábornok pozíciója gyengébb lehet, mint gondolnánk. Megpróbálok többet kideríteni.\n\nSzegôdjön a szerencse Ön mellé, Asszonyom! Legközelebb talán már a fôvárosban találkozunk!\n\n- Tóbiás százados
nr_letter_41;Meve-nek, Lyria és Rívia trónfosztott és becsületét vesztett egykori királynôjének\nArdal aep Dahy tábornoktól, fôkancellártól, a "Kelet" Hadseregcsoport fôparancsnokától\n\nÜdvözlöm újra Ríviában, Felség! Amint arról hamarosan Kegyed is meggyôzôdhet, a távollétében ez a föld némiképp megváltozott. Érkeztemkor Rívia városainak falait romokban találtam. Azóta ezeket újjáépíttettem és megerôsíttettem, a kaszárnyákban állomásozó erôk pedig létszámban kétszeresen múlják felül az eredeti állapotokat. Most minden települést korszerû dárdavetô, katapult és hajítógép is védelmez. Reméljük, tiszteletét teszi nálunk! Tárt karokkal várjuk.
nr_letter_42;Villemnek, Lyria és Rívia királyának\nArdal aep Dahy tábornoktól, fôkancellártól, a "Kelet" Hadseregcsoport fôparancsnokától\n\nJavaslatát, miszerint a rabszolgák szállítmányát kiválthatnák aranyban fizetett sarccal, határozottan elutasítjuk. Nilfgaardnak nem pénzre van szüksége – amely bôséggel áll rendelkezésére –, hanem munkaerôre. Ez ügyben a továbbiakban nem szándékozom tárgyalni. Mint minden vazallusnak, Önnek is kötelességei vannak a Birodalommal szemben, amelyeket teljesítenie kell. Amennyiben nem jelöli ki azon településeket, melyekre a sarcot kivethetjük, abban az esetben én fogom megtenni Felséged helyett.
nr_letter_43;[Nilfgaardiról lefordítva]\n\nArdal aep Dahy tábornoknak, fôkancellárnak, a "Kelet" Hadseregcsoport fôparancsnokának\nEmhyr van Emreis császártól, Deith Addan yn Carn aep Morvuddtól\n\nAz frontvonalakról érkezô jelentésekben közöltek messze elmaradnak a kívánalmaimtól. Meve szedett-vedett seregének elôrehaladása elfogadhatatlan. Az ellenállást Ríviában teljesen fel kell számolni, minden késedelem nélkül. Fogja el a királynôt, és küldje a fôvárosba, hogy nyilvánosság elôtt kivégezzék. Tisztjeivel a helyszínen végezzen, fogja el és hajtsa rabigába az embereit, majd küldje ôket a vicovarói birtokokra dolgozni. Még a jelen hónap vége elôtt számítok beszámolójára a fejleményekrôl.
nr_letter_44;Dragomir!\n\nJó egészségnek örvendek, köszönöm kérdésed. Egészen más gondok nyomasztanak. Megbízható forrásból tudom, hogy Meve törp egységekkel megtámogatva hagyta el Mahakamot. Úgy sejtem, tiszteletét teszi majd nálam. Akármennyire is abszurdnak tûnik, de a közelmúlt eseményeinek fényében egyre szórakoztatóbbnak találom a gondolatot, hogy ez a hitvány némber végül még képes lesz felszabadítani Lyriát és Riviát. Ahogy a mondás is tartja: minél nagyobb a bolond, annál szerencsésebb.\n\nHa így esne, ne számíts könyörületre. Jól ismerem, és hidd el: nála bosszúszomjasabb és gonoszabb nôszemélyt még nem hordott hátán e föld. Amint értesülsz arról, hogy átlépi a határt, utasítsd az embereidet, hogy fokozzák a védelmet!\n\nCsókold meg helyettem is az asszonyt és a gyerekeket. Remélem, hamarosan újra látjuk egymást.\n\n- Caldwell
nr_letter_45;[Nilfgaardiról lefordítva]\n\n1. nap: Hadmûvelet folytatása.\n12. nap: Az északi fal leomlott. 12 halott, 7 sebesült.\n20. nap: További rabszolgákért küldetve.\n26. nap: A rabszolga-szállítmány megérkezett. Sok a gyenge és a munkára alkalmatlan. Harmad ételadag elrendelve.\n30. nap: A keleti fal leomlott. 7 halott, 5 sebesült.\n32. nap: További rabszolgákért küldetve.
nr_letter_46;Az ellenséges seregek szétzilálva, délnek, a határ felé menekülnek. A hadmozgások zavarosak, nem követhetôk, parancsok hiányára engednek következtetni.\n\nA Scoia'tael csapatok szintén visszavonulóban, kelet felé, Dol Blathanna irányába. A nilfgaardiak támogatásának hiányában a tündéket, ha elfogják, az aedirniek lemészárolják.\n\nA császár béketalálkozóra készül. A jelentések szerint jelentôs engedménytételre hajlandó. A megszállók ellenállásának utolsó bástyája egy erôdítmény Aldersbergben. Az azt ôrzô megmaradt csapatokat Ardal aep Dahy tábornok vezeti. Elutasítja a kapitulációt.
nr_letter_47;Felség!\n\nMélységes sajnálattal tudatjuk Önnel, hogy Tóbiás százados, aki felbecsülhetetlen értékû információkkal látott el bennünket a nilfgaardi megszállás alatt álló fôvárosból, leleplezôdött, és hosszas kínzás után három nappal ezelôtt fejét vették.\n\nA megszállók a város elhagyásakor magukkal vitték a családját, feleségét és két, 12 és 7 éves gyermekét. További sorsukról azóta nincsen tudomásunk.
nr_letter_48;Kegyelmes Felség!\n\nElfogultság nélkül, büszkeséggel jelentem, hogy a Szélesfeji Gyár elkészült és üzemképes! Legújabb találmányom: a vízhatlan bricsesznadrág!\n\nEz a nagyszerû külsô viselet két esetben is jó szolgálatot tehet:\n1., Ingoványos területen, mint például Angren mocsárvidékein végrehajtott hadmûveletek során\n2., Amikor valami annyira megrémíti katonáinkat, hogy elveszítik uralmukat a záróizmaik fölött\n\nArra bátorkodom kérni Felségedet, kegyeskedjék ellátni a királyi méreteivel (gondolok itt Felséged csípôkörméretére), hogy méretre szabott mintadarabbal láthassam el Kegyedet.\n\nÔszinte üdvözlettel:\nBarnabás Beckenbauer,\nLyria és Rívia királyságainak fôfeltalálója
nr_letter_49;[Az ôsi nyelvrôl lefordítva]\n\nFaengil,\n\nNilfgaard elárult minket. Elárulták az Északiaknak a pozíciónkat, felfedték elôttük minden rejtekhelyünket. A békeszerzôdés semmilyen garanciát nem fog tartalmazni amnesztiára vonatkozóan azok számára, akik megadják magukat, és leteszik a fegyvert. Tudod, mit jelent ez.\n\nEl kell menekülnünk az Északi Királyságokból. Vidd a kommandódat a megbeszélt helyre, amilyen gyorsan csak tudod. Egy hetet várok, aztán keletnek indulunk.\n\n- Iorveth
nr_letter_50;Felség!\n\nJó hírek a nyugati frontról! Temeria, Kaedwen és Redánia egyesített seregei teljesen visszaverték a nilfgaardiakat Brennánál. A Birodalom közel negyvenezer embert veszített, és Coehoorn marsallnak is nyoma veszett. A "Közép" Hadseregcsoportban teljes a fejetlenség, és Foltest király épp kiszorítja az ellenséget temeriai földrôl. A császár késznek mutatkozik tárgyalásokat kezdeményezni a fegyverszünetrôl. Közel a gyôzelem!
nr_letter_51_desc;No, lám, szépen megkínáltad a csizmád orrával a nilfgaardiak valagát! Amikor farokbehúzva eliszkoltak, jó nagy porfelhô maradt a töketlenek után. Még Karbonhegyig is elhozta a szél! Büszkén állíthatom, Mahakam önkénteseinek nem kis szerepe volt benne. Mégis, el kell ismerni, amiért elismerés dukál. Gratulálok, Meve! Ôszintén. Az a tökkelütött Császár eztán kétszer is meggondolja majd, hogy a Pontar északi partjára tegye-e a lábát!\n\nHo-hó-haa!!\n\n- Brouver Hoog\nelöljáró
nr_letter_51_title;Levél Brouver Hoogtól
nr_letter_52_desc;Felség!\n\nFokvár iparosai új fali szôttest készítettek a trónterme számára. Mellékeltem egy metszetet a mintázatáról. Remélem, Kegyed elégedett lesz vele: egy I. Coram királytól örökölt cintrai oroszlánt ábrázol – kivicsorított agyarai meglepô élethûséggel ábrázoltatnak. Valamint látható még rajta Temeria Delenjeinek ôsi kardja, amint Mahakam mélyén kovácsolják. Nincs kétségem afelôl, hogy ez lesz a kastély legújabb mûremeke.\n\nVárva várjuk visszatérését, Asszonyom!\n\nGustave Perrault,\nkirályi fôintézô
nr_letter_52_title;Királyi fôintézô levele
nr_letter_title_01;Levél Demavend királytól
nr_letter_title_02;Jelentés: Nilfgaardi hadmozgások
nr_letter_title_03;Jelentés: Spalla Bitangjai
nr_letter_title_04;Levél Dravográdból
nr_letter_title_05;Jelentés: Nilfgaardi offenzíva
nr_letter_title_06;Scoia'tael propaganda
nr_letter_title_07;Nilfgaard ultimátuma
nr_letter_title_08;Jelentés: Helyzetjelentés Aedirnbôl
nr_letter_title_09;Felhívás Lyria és Rívia népeihez
nr_letter_title_10;Levél Tóbiás századostól, 1
nr_letter_title_11;Jelentés: Eldain különítménye
nr_letter_title_12;Jelentés: Megtorlás a követ haláláért
nr_letter_title_13;Az Eldainnál talált levél
nr_letter_title_14;Figyelmeztetés
nr_letter_title_15;Havekár szállítmány
nr_letter_title_16;Demavend király parancsai
nr_letter_title_17;Levél Falbesonnak
nr_letter_title_18;Üzenet a nilfgaardi fejvadásznak
nr_letter_title_19;Jelentés: Mahakam
nr_letter_title_20;Levél Tóbiás századostól, 2
nr_letter_title_21;Levél Gatberg polgármesterétôl
nr_letter_title_22;Vendégek szabálykönyve
nr_letter_title_23;Elfogott üzenet
nr_letter_title_24;Borófenéken talált üzenet
nr_letter_title_25;Levél Brouver Hoogtól
nr_letter_title_26;Nilfgaardi parancs
nr_letter_title_27;Toborzási felhívás
nr_letter_title_28;Figyelmeztetés a klántanácstól
nr_letter_title_29;Jelentés: Angren
nr_letter_title_30;Levél Brouver Hoogtól
nr_letter_title_31;Levél Tóbiás századostól, 3
nr_letter_title_32;Levél aep Dahy-tól
nr_letter_title_33;Jelentés: Nilfgaardi erôsítés
nr_letter_title_34;Parancsok "Xaviernek"
nr_letter_title_35;Soddeni tekercs
nr_letter_title_36;Gerwin rejtjeles üzenete
nr_letter_title_37;Megsárgult tekercs
nr_letter_title_38;Jelentés: Rívia
nr_letter_title_39;Jelentés: Ríviai Geralt dezertálása
nr_letter_title_40;Levél Tóbiás századostól, 4
nr_letter_title_41;Levél aep Dahy tábornoktól
nr_letter_title_42;Levél Villemnek
nr_letter_title_43;Levél aep Dahy tábornoknak
nr_letter_title_44;Levél Caldwelltôl
nr_letter_title_45;Kôfejtôi jegyzet
nr_letter_title_46;Jelentés: Aedirn
nr_letter_title_47;Jelentés: Tóbiás százados
nr_letter_title_48;Levél Barnabás Beckenbauertôl
nr_letter_title_49;Levél a különítmény vezérétôl
nr_letter_title_50;Jelentés: A brennai csata
nr_lyrian_arbalists_flavour;Felség, az acélsodrony-huzalok alkalmazása rendkívül halálossá tette a számszeríjaink sebzését – gyakorlótéri próbáink során a lövedékek még a legerôsebb lemezpáncélokat is úgy szakították át, mintha azok papírból lettek volna. Amint kiképezzük ôket, a lövészeink képesek lesznek akár két lövedéket is kilôni percenként. Egy ilyen támadással szemben még a nilfgaardiak is remegni fognak, mint a nyárfalevelek.\n\n- Reynard
nr_lyrian_heavy_cavalry_flavour;Felség, úgy vélem, azzal a felszereléssel, ami a birtokunkba került, képessé váltunk nehézlovassági egységek kiképzésére. Igaz, hogy nem lesznek nemesi származású urak a soraikban, de – véleményem szerint – akad az újoncaink között rátermett legény szép számmal. Amint parancsot ad rá, azonnal munkához is látok.\n\n- Reynard
nr_lyrian_landsknechts_flavour;Felség, minden felszerelés a rendelkezésünkre áll ahhoz, hogy lyriai landsknecht-egységeket képezzünk ki. Minden bizonnyal még Kegyed is emlékszik rá, milyen jelentôs szerepük volt az 1258. évi ríviai Brossard-felkelés leverésében néhai Reginald királyunk vezénylete alatt. Hasonlóképp nagy hasznát vennénk képességeiknek a jelen helyzetünkben.\n\n- Reynard
nr_pitfall_trap_flavour;Mondtam már, Meve, hogy mennyire favorizálom én a veremcsapdákat? Olyan egyszerûek, s mégis, olyan átkozottul hatékonyak... Volt elég idônk a felállításuk gyakorlására, és jól fognak jönni az adószedôk elfogásához is. Hidd el, a Feketék is épp oly készségesen fognak beléjük botlani.\n\n- Gascon
nr_poor_infantry_flavour;Felség... Nem fogok hazudni: valószínûleg ez a legrosszabban szervezett osztag, amit valaha láttam. Megpróbálhatom gatyába rázni ôket annyira, hogy menetelés közben ne botoljanak el a saját lábaikban, és egyenesen tudják tartani a fegyvereiket. Ha ránk mosolyog a szerencse, talán nem futnak meg már az elsô alkalommal, ha ellenséges lovasság ront rájuk. Bár nem várnék tôlük túl sokat.\n\n – Reynard
nr_reaver_dragon_hunter_flavour;Felség, új jövevény érkezett a táborunkba: egy híres Crinfrid Sárkányölô – egyike azoknak a harcos kalandozóknak, akik végeztek a redániai villásfarkúakkal. Egy bizonyos összegért cserébe hajlandónak mutatkozik arra, hogy képezze az embereinket. Elismerem, hogy a módszerei – hogy is mondjam, – némiképp eltérnek a szokványostól, ám rendkívül hatékonyak.\n\n– Reynard
nr_reaver_scout_flavour;Meve, hallottál már a Crinfrid Sárkányölôkrôl? Rendes fickók azok, iddogáltam már velük egyszer-kétszer. Sikerült rávennem ôket arra, hogy megosszanak velünk néhányat a szakmájuk fortélyai közül. Na, nem ingyen, természetesen – és nem is olcsón, de náluk képzettebb zsoldosokat nem találsz egész Északon.\n\n- Gascon
nr_redanian_elite_flavour;Felség, Sigismund Dijkstra, a Redániai Régensi Tanács vezetôje küldöttséget menesztett hozzánk, és arra utasította ôket, hogy a redániai nehézgyalogsági harcászati taktikákra képezzék az újoncainkat. És hogy átadják Felségednek Dijkstra úr azon üzenetét, miszerint hisz abban, hogy erôfeszítéseinket siker koronázza majd.\n\n- Reynard
nr_redanian_knight_flavour;Felség, néhány redániai veterán csatlakozott a seregünkhöz. Vállalták, hogy embereinket a Vizimir király által híressé tett harci formációkra kiképezik, amennyiben megfelelô felszerelést – nehézvértezetet, hosszú lándzsákat – tudunk biztosítani számukra. Nem keveset kérnek, de egy efféle lovasság megéri az árát.\n\n– Reynard
nr_reinforced_ballista_flavour;Felség, kaedweni szövetségeseink készen állnak a fejlesztett dárdavetôk legyártására – és meg kell hogy mondjam, teljesen le vagyok nyûgözve a találékonyságuk láttán. Olyan kialakítással sikerült elôállniuk, amely mind a hatótáv tekintetében, mind pedig a károkozás mértékében jócskán felülmúlja az eddig elterjedt konstrukciókat.\n\n- Reynard
nr_reinforced_siege_tower_flavour;Felség, Foltest király elküldte nekünk a legkorszerûbb temeriai ostromgépeik tervrajzait. Ezek a szerkezetek lehetôvé teszik, hogy nagy erôket zúdíthassunk az ellenséges falakra úgy, hogy közben a felépítmény védi is a benne tartózkodó katonáinkat.\n\n- Reynard
nr_reinforced_trebuchet_flavour;Felség, tanulmányoztam az elkészítési ábrákat, amiket Henselt király személyes mérnökei hoztak nekünk, és meg kell hogy mondjam,... forradalmiak. Tüstént neki kell állnunk a megvalósításuknak – számottevô taktikai elônyt fognak biztosítani számunkra, akár nyílt terepen hadakozunk, akár ostromra készülünk.\n\n- Reynard
nr_rivian_infantry_flavour;Felség, most, hogy minden szükséges felszerelés birtokába jutottunk, nekiláthatunk ríviai típusú gyalogsági egységek kiképzésének. Természetesen személyesen fogom kiválasztani és kiképezni az újoncokat – amint kiadja rá a parancsot.\n\n- Reynard
nr_rivian_onager_flavour;Felség, ezeknek a gépeknek az építését még a megboldogult férje idejében, Ríviában kezdtük el. Bár nem olyan pontosak, mint a dárdavetôk, de sokkal könnyebben kezelhetôk, és jóval mobilisabbak is. Amint lehet, neki kellene állnunk az elkészítésüknek, ugyanis jelentôsen növelni fogják a mozgékonyságunkat.\n\n- Reynard
nr_trebuchet_flavour;Felség, nekiláthatunk elôkészíteni a hajítógépek alkotóelemeit, hogy csata során csak össze kelljen szerelni ôket. Evégett szakképzett kezelôszemélyzetet kell kiképeznünk, de amint rendelkezésünkre állnak, még azelôtt képesek leszünk lecsapni az ellenre, mielôtt az a soraink közelébe férkôzhetne.\n\n- Reynard
nr_workshop_level1_flavour;Felség, hasznát látnánk hadigépek támogatásának az elkövetkezô csaták során. Némi összeg ráfordításával neki is állhatnánk a megépítésüknek.\n\n– Reynard
nr_workshop_level1_title;Alap mûhely
nr_workshop_level2_flavour;Felség, önkéntesek – kaedweni mérnökök – egy csoportja csatlakozott sorainkhoz. Már elô is álltak egy tervezettel arra vonatkozóan, miképp fejleszthetnék a hadigépeinket. De ahhoz, hogy erre sor kerülhessen, elôbb a kiépítettségen volna szükséges fejlesztenünk.\n\n– Reynard
nr_workshop_level2_title;Fejlettebb mûhely
nr_workshop_level3_gascon_flavour;Több csapdakészítéshez való eszközre van szükségünk, Meve. Reynard arról gajdol majd, hogy a csapdák hitvány dolgok, és ehhez hasonló baromságokról, de úgy gondolom, minden elônyre szükséged lesz, amire szert tudsz tenni.\n\n– Gascon
nr_workshop_level3_gascon_title;Csapdakészítôk mûhelye
nr_workshop_level3_reynard_flavour;Felség, a Szürke Lovasoknak sikerült néhány készítési ábrát megszerezniük a ríviai mûhelyeinkbôl. A gyártás megkezdéséhez némiképp fejlesztenünk szükséges a jelenlegi mûhelyünket, de biztosíthatom, elégedett lesz majd az eredménnyel.\n\n– Reynard
nr_workshop_level3_reynard_title;Fegyverraktár
nr_workshop_level4_flavour;Felség, Henselt király elküldött hozzánk néhányat a legkiválóbb mérnökei közül, hogy támogassa az ügyünket. A hadigépeink modernizálására vonatkozó javaslataik fölöttébb nagyratörôk – és ugyanannyira költségesek is.\n\n– Reynard
nr_workshop_level4_title;Korszerû mûhely
nr_workshop_level5_gascon_flavour;Ha lazítanál egy kicsinykét az erszényed zsinórján, Meve, akkor felfogadhatnánk egy alkimistát – a fiúk jó hasznát vennék vegyészkedés révén elôállított bombáknak, olyanoknak, amilyeneket a saját szemeddel is láthattál, amikor a Clayton-birtokon harcoltunk.\n\n– Gascon
nr_workshop_level5_gascon_title;Alkimista mûhelye
nr_workshop_level5_reynard_flavour;Felség, közeleg a perc, amikor ellenség által bitorolt falakat kell majd ostrom alá vennünk. Ha fejlesztenénk a mûhelyünket, nekikezdhetnénk sokkal szofisztikáltabb ostromgépek megépítésének.\n\n– Reynard
nr_workshop_level5_reynard_title;Ostrommûhely
nr1_loc_location01;Molnárkanyar
nr1_loc_location02;Lyriai alföld
nr1_loc_location04;Gazdagégetô
nr1_loc_location06;Lord Clayton birtoka
nr1_loc_location07;Ájerfalva
nr1_loc_location08;Régi temetô
nr1_loc_location09;Carduus mezeje
nr1_loc_location11;Vadalmás
nr1_loc_location12;Zöldhajlás
nr1_loc_location15;Melitele temploma
nr1_loc_location19;A rendház temetôje
nr1_loc_location24;Elhagyatott tanya
nr1_loc_location25;Varjúdomb
nr1_loc_location26;Restvár
nr1_loc_location29;Turnifen
nr1_loc_location32;Slobak-hasadék
nr1_loc_location33;A "Kelet" Hadseregcsoport tábora
nr1_loc_location34;Dravográd
nr1_loc_location35;Favágó Rakása
nr1_loc_location36;Derûsgát
nr1_loc_location39;Füvesárok
nr1_loc_location40;Apát-hasadék
nr1_loc_location41;Apáttanya
nr1_loc_location42;Gudmund tábora
nr1_loc_location43;Lyria külvárosa
nr100_poi_01_map_title;Milka térképe
nr100_poi_02_desc;Felség! Úgy tûnik, valaki kivágott egy öreg tölgyet, és az most keresztbe fekszik az úton. Attól tartok, a szekereinkkel megkerülni nem lehetséges. Mit tegyünk?
nr100_poi_02_opt_a;Hagyják a favágókra a dolgot. A katonáknak tartalékolniuk kell az erejüket.
nr100_poi_02_opt_b;Adjanak fejszéket a katonáknak, és fogják ôket munkára.
nr100_poi_02_title;Kivágott fa
nr100_poi_03_letter;Szerelmem,\n\nÍrj, kérlek, amint eljutottál a templomba. Tudom, hogy még csak két hét telt el, de a szívem már most nehéz a hiányod miatt! Az otthonunk üres és kihalt nélküled.\n\nRemélem, felajánlásunk, bár szerény, a Jó Anya kedvére lesz. Az Ô áldásával talán végre lehet gyermekünk! Nincs kétségem afelôl, hogy ugyanolyan szeretô apa leszel, mint amilyen férj vagy. Kérlek, légy óvatos, és térj vissza hozzám mihamarabb!\n\nÖrökkön a tiéd,\nFrilke
nr100_poi_03_letter_title;Vérfoltos levél
nr100_poi_04_letter;Rolke (vagy inkább álomszuszék!),\n\nanya és én elmentünk a piacra. Emeld fel a segged, és tedd ki a madárijesztôt a szántásba. Tudod, hogy hova. Nem akarok több kifogást és hadoválást hallani szörnyekrôl vagy ürdüngökrôl. Nem szeretném használni a nadrágszíjamat, de fogom, ha muszáj.\n\n- Apa
nr100_poi_04_letter_title;Összegyûrôdött üzenet
nr100_poi_05_desc;Felség! Két alattvalója alázattal kéri segítségét. Yarplek és Wilmer, ahogy önmagukat nevezik. Úgy fest, eltört a szekerük tengelye, és sietôs volna az útjuk a vásárba. Mik a parancsai?
nr100_poi_05_opt_a;Hívassa a táborfelügyelôket. Nézzenek utána, mit lehet tenni.
nr100_poi_05_opt_b;Néhány arany elegendô lesz.
nr100_poi_05_opt_c;Továbbmegyünk. Nincs idônk ilyesmivel foglalkozni.
nr100_poi_06_desc;Királynôm! A viskóban Spalla egyik Bitangjába botlottunk. Megsérült a Gazdagégetôben állomásozó adószedôk elleni támadáskor, aztán a bajtársai magára hagyták. Felajánlotta, hogy megosztja velünk az elrejtett zsákmány helyét. Már ha megkíméljük az életét...
nr100_poi_06_map_title;Útonállók térképe
nr100_poi_06_opt_a;Ám legyen. Eresszék el!
nr100_poi_06_opt_b;Nem hagyjuk magunkat megvesztegetni egy ilyen korcsfajzat által. Kössék fel!
nr100_poi_06_opt_c;Mondják azt neki, hogy elfogadjuk az ajánlatát. De amint felfedi a helyet, verjék láncra.
